"ID","File Name","Command","Link","Alt Text","Created At","Type","Mime Type","Width","Height","Duration","Status","Errors"
"gid://shopify/MediaImage/22869612822573","Image_15.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Image_15.png?v=1658396595","","2022-07-21 11:43:15 +0200","IMAGE","image/png","335","200","","Ready",""
"gid://shopify/MediaImage/22869614592045","image_40.jpg","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/image_40.jpg?v=1658396626","","2022-07-21 11:43:46 +0200","IMAGE","image/jpeg","880","640","","Ready",""
"gid://shopify/MediaImage/23042994372653","440x600-Nijmegen-1-boutique-grid-image-small.jpg","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/440x600-Nijmegen-1-boutique-grid-image-small.jpg?v=1660142334","","2022-08-10 16:38:54 +0200","IMAGE","image/jpeg","440","600","","Ready",""
"gid://shopify/MediaImage/23042996043821","335x600-Nijmegen-2-boutique-grid-image-small.jpg","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/335x600-Nijmegen-2-boutique-grid-image-small.jpg?v=1660142352","","2022-08-10 16:39:12 +0200","IMAGE","image/jpeg","335","600","","Ready",""
"gid://shopify/MediaImage/22869611315245","DSC_0033.jpg","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/DSC_0033.jpg?v=1658396576","","2022-07-21 11:42:56 +0200","IMAGE","image/jpeg","1200","800","","Ready",""
"gid://shopify/MediaImage/22869613314093","image_312_1.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/image_312_1.png?v=1658396604","","2022-07-21 11:43:24 +0200","IMAGE","image/png","2880","1600","","Ready",""
"gid://shopify/MediaImage/22869618196525","photo-1632345031435-8727f6897d53_1.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/photo-1632345031435-8727f6897d53_1.png?v=1658396656","","2022-07-21 11:44:16 +0200","IMAGE","image/png","325","325","","Ready",""
"gid://shopify/MediaImage/22869612757037","Image_14_c7724f50-c2f5-4b3c-accb-c799f5501f9a.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Image_14_c7724f50-c2f5-4b3c-accb-c799f5501f9a.png?v=1658396594","","2022-07-21 11:43:14 +0200","IMAGE","image/png","225","225","","Ready",""
"gid://shopify/MediaImage/22869613150253","Image_18.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Image_18.png?v=1658396600","","2022-07-21 11:43:20 +0200","IMAGE","image/png","1460","1560","","Ready",""
"gid://shopify/MediaImage/22869611282477","BOIS_DE_ROSE-108967_720x_9ff1892f-74e3-43dd-b3b0-041bf526d18f.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/BOIS_DE_ROSE-108967_720x_9ff1892f-74e3-43dd-b3b0-041bf526d18f.png?v=1658396575","","2022-07-21 11:42:55 +0200","IMAGE","image/png","1340","1960","","Ready",""
"gid://shopify/MediaImage/22869618327597","Rectangle_10_eb95a42f-36c5-4308-9052-b8a22f9c6e34.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Rectangle_10_eb95a42f-36c5-4308-9052-b8a22f9c6e34.png?v=1658396659","","2022-07-21 11:44:19 +0200","IMAGE","image/png","111","111","","Ready",""
"gid://shopify/MediaImage/22869617868845","PG-Utrecht-5_2.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/PG-Utrecht-5_2.png?v=1658396651","","2022-07-21 11:44:11 +0200","IMAGE","image/png","2680","2400","","Ready",""
"gid://shopify/MediaImage/23043030548525","335x600-Leidschendam-boutique-grid-image-big.jpg","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/335x600-Leidschendam-boutique-grid-image-big.jpg?v=1660142710","","2022-08-10 16:45:10 +0200","IMAGE","image/jpeg","335","600","","Ready",""
"gid://shopify/MediaImage/22869610332205","66232116_650287638784011_155186488483512320_n.jpg","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/66232116_650287638784011_155186488483512320_n.jpg?v=1658396567","","2022-07-21 11:42:47 +0200","IMAGE","image/jpeg","1200","900","","Ready",""
"gid://shopify/MediaImage/22869618262061","Rectangle.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Rectangle.png?v=1658396657","","2022-07-21 11:44:17 +0200","IMAGE","image/png","375","700","","Ready",""
"gid://shopify/MediaImage/22869619376173","Rectangle_13.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Rectangle_13.png?v=1658396662","","2022-07-21 11:44:22 +0200","IMAGE","image/png","111","111","","Ready",""
"gid://shopify/MediaImage/22869619343405","Rectangle_12.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Rectangle_12.png?v=1658396661","","2022-07-21 11:44:21 +0200","IMAGE","image/png","111","111","","Ready",""
"gid://shopify/MediaImage/22869613543469","image_313_1.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/image_313_1.png?v=1658396608","","2022-07-21 11:43:28 +0200","IMAGE","image/png","1340","1600","","Ready",""
"gid://shopify/MediaImage/22869619540013","Rectangle_2.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Rectangle_2.png?v=1658396665","","2022-07-21 11:44:25 +0200","IMAGE","image/png","375","700","","Ready",""
"gid://shopify/MediaImage/22869619638317","Rectangle_26429.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Rectangle_26429.png?v=1658396666","","2022-07-21 11:44:26 +0200","IMAGE","image/png","805","600","","Ready",""
"gid://shopify/MediaImage/22869613707309","image_36_1.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/image_36_1.png?v=1658396612","","2022-07-21 11:43:32 +0200","IMAGE","image/png","710","788","","Ready",""
"gid://shopify/MediaImage/22869611511853","Image-4_1.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Image-4_1.png?v=1658396580","","2022-07-21 11:43:00 +0200","IMAGE","image/png","325","325","","Ready",""
"gid://shopify/MediaImage/22869611610157","Image.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Image.png?v=1658396583","","2022-07-21 11:43:03 +0200","IMAGE","image/png","1340","1720","","Ready",""
"gid://shopify/MediaImage/22869619900461","Rectangle_3.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/Rectangle_3.png?v=1658396670","","2022-07-21 11:44:30 +0200","IMAGE","image/png","111","111","","Ready",""
"gid://shopify/MediaImage/22869611708461","image302_swatch_6ce7d913-ad26-4154-989e-a9c8967e5f39.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/image302_swatch_6ce7d913-ad26-4154-989e-a9c8967e5f39.png?v=1658396584","","2022-07-21 11:43:04 +0200","IMAGE","image/png","215","230","","Ready",""
"gid://shopify/MediaImage/22869613936685","image_38.png","MERGE","https://cdn.shopify.com/s/files/1/0591/2238/4941/files/image_38.png?v=1658396618","","2022-07-21 11:43:38 +0200","IMAGE","image/png","670","1240","","Ready",""
